PIBTOTAL;PIBAGRO ;CULTIVO 
111,93;9,2;0
122,47;7,58;0
137,22;8,35;0
147,71;10,62;68
161,37;9,48;67
181,38;12,42;66
210,6;11,55;61
218,25;10,68;61
241,74;11,71;0
326,87;25,97;0
22,82;7,86;149
22,95;6,74;149
26,12;7,89;149
29,53;9,98;1036
33,14;10,27;3304
35,48;9,69;6427
39,95;11,97;7482
39,01;9,25;7642
53,05;18,54;7570
68,26;32,97;7630
40,73;14,86;510
42,75;13,7;2676
49,09;15,39;3173
69,03;16,86;4250
73,91;13,15;5396
93,5;17,59;5853
88,33;20,9;5771
80,67;25,28;5719
83,22;26,05;5446
63,01;22,56;5546
19,75;6,08;21
19,36;4,25;27
18,61;3,19;27
21,87;3,58;113
24,56;3,69;2178
25,78;3,83;4490
42,07;12,17;4513
47;15,91;5463
47,05;15,46;6314
40,85;16,63;7640
42,25;10,25;1217
42,11;8,03;1197
46,93;6,94;1188
51,49;8,49;1210
56,95;9,26;1162
58,95;8,56;1533
62,61;9,59;2524
75,04;12,79;2455
80,21;14,82;3344
93,49;24,57;4021
72,27;21,56;7711
67,61;15,41;7854
82,05;17,97;7857
93,59;18,62;9229
101,18;17,17;10373
114,49;23,47;11949
128,73;27,63;11717
171,84;42,78;11733
188,86;54,99;11705
151,9;44,57;13185
22,09;3,24;0
25,19;3,31;0
26,52;3,51;0
30,13;4,78;0
32,07;4,07;54
35,64;4,34;77
40,5;4,43;77
42,63;5,56;77
45,35;6;77
49,22;11,16;76
31,24;12,73;2748
30,93;10,67;2846
40,5;15,71;4999
39,37;13,75;7284
46,27;16,35;12067
52,27;18,65;14399
71,87;33,78;14357
89,82;46,51;15281
82,35;35,52;18050
96,96;43,13;19642
173,23;33,48;8097
175,6;7,44;9205
184,64;33,22;12633
209,66;34,97;18111
209,58;22,74;22181
273,11;30,64;27535
290,7;34,17;27774
358,11;63,47;30150
384,02;69,35;31926
363,49;65,18;34919
75,15;17,87;0
79,96;16,54;98
83,3;16,59;842
90,09;17,31;1990
104,15;17,74;2204
113,52;19,95;6350
131,44;26,51;11070
149,34;32,13;13265
159,24;33,31;14660
273,94;47,36;19404
41,32;11,48;5060
50,22;10,94;5173
68,89;16,16;5009
74,68;14,3;1930
72,43;16,45;4055
79,24;21,51;5691
85,87;24,59;5807
112,57;28,58;5827
105,18;31,53;5689
72,29;21,85;5261
27,85;9,98;744
27,97;9,22;1173
40,07;14,05;1660
57,62;25,33;4883
87,2;16,01;7271
211,47;26,65;10525
321,87;33,33;12097
203,73;55,18;13449
167,24;52,07;13782
191,38;55,65;14398
22,96;6,74;187
23,7;6,21;544
26,54;7,97;864
28,47;8,38;1603
31,97;8,68;2377
35,7;9,9;2997
42,6;12,72;2642
46,02;13,62;2715
46,38;12,25;2670
45,88;13,64;2559
294,87;13,52;2548
307,01;10,15;2956
322,31;10,18;3483
276,39;10,76;9989
350,04;12,22;15176
360,13;24,32;19546
359,16;29,18;20219
426,58;40,77;20237
471,28;38,82;20714
527,33;45,64;20805
83,94;18,43;584
82,45;12,13;586
94,52;17,34;1136
99,21;15,32;2387
110,06;15,39;2215
137,28;16,21;3996
143,98;18,12;3897
171,55;18,94;3668
171,45;21,23;3634
189,99;28,92;3724
258,12;16,8;0
284,64;15,44;10
302,98;15,64;10
323,58;18,76;507
332,07;19,63;735
378,75;20,62;1391
413,01;23,39;1382
452,12;23,69;2313
495,02;35,9;7388
802,86;50,55;11291
2002,06;17;7849
2242,2;22,57;8041
2472,56;25,72;8117
2602,76;23,15;8203
2814,51;18,43;8269
3237,69;16,8;8473
3783,37;22,33;8353
3961,18;25,13;8032
4290,07;22,71;8096
5212,06;28,69;8132
241,38;12,08;2628
273,91;11,25;3292
291,44;12,93;3721
319,27;13,3;5526
353,65;12,73;6702
401,57;14,47;8635
428,35;22,11;9054
459,62;26;9707
517,25;25,28;9880
525,36;31,82;10431
394,88;47,28;9332
423,01;43,32;9711
562,26;52,38;9980
502,36;47,29;12605
546,26;43,5;21330
656,33;54,71;25466
767,54;71,17;29707
873,65;101,56;30904
1012,71;142,33;33618
843,33;242,22;40359
130,17;8,07;362
145,67;7,66;764
175,41;9,22;776
182,82;9,39;937
219,94;8,87;1187
256,07;9,33;1413
271,3;9,09;1565
314,23;14,54;1427
329,33;17,46;1250
444,09;29,4;1320
601,94;10,32;17
659,16;11,6;0
707,16;9,17;0
677,35;10,24;574
682,48;11,63;558
769,4;11,77;2350
894,04;16,83;2872
874,58;19;2873
938,14;23,85;5693
1030,27;32,35;6371
137,77;25,86;0
137,6;13,22;0
133,51;14,17;0
142,23;17,68;2281
144,27;15,64;10785
218,43;23,02;15080
314,98;26,04;15662
290,23;55,07;15747
271,07;51,64;17167
177,48;57,35;18823
135,03;11,33;1461
150,38;9,14;1514
165,36;11,46;2270
167,64;13,87;4056
176,83;13,31;3912
209,49;23,53;4671
231,6;20,07;4642
238,28;17,95;4373
248,95;16,07;4510
281,27;24,47;4731
182,86;15,73;5083
207,93;13,3;3198
185,59;12,33;4154
202,81;10,46;6932
213,15;11,88;12120
254,5;15,28;15693
294,16;18,72;16707
311,88;33,96;18670
326,47;37,63;18305
183,23;43,5;20252
30,33;5,29;0
29,05;2,86;0
32,36;3,93;950
35,69;4,55;993
40,45;4,75;999
45,64;5,76;2047
53,57;7,99;2810
58,99;9,38;3299
66,7;10,67;4090
72,28;12,11;4253
123,6;23,95;13548
131,38;23,6;16277
151,93;31,41;17454
146,28;24,51;19654
161,59;20,66;23504
208,36;26,41;27741
251,88;41,38;27422
301,12;67,81;30481
314,11;59,53;30813
417,95;78,88;33068
