id	text
1	Algumas dificuldades, em entender certas materias
2	
3	nenhuma
4	nao estou tendo dificuldades
5	por enquanto nenhuma dificuldade 
6	Entender as materias
7	
8	Acompanhar o ritmo das materias
9	
10	Clareza de alguns professores em relacao a quais obras serao cobradas
11	
12	Nenhuma, mano
13	Alguns professores explicam as materias com muita agilidade, onde as vezes acabamos nao entender
14	nao estou tendo dificuldades
15	nenhuma 
16	tempo
17	nao tenho dificuldades com o curso
18	Quantidade de materias
19	Por morar em outra cidade,e com isso depender do horario do transporte, as vezes nao posso ficar em monitorias e com isso perco uma oportunidade de tirar as minhas duvidas, porque se ficar vou perder o onibus
20	nao encontro dificuldade
21	Entender mais as Materias Pois sao conteudos que nunca estudei em Ensino fundamental e tambem no Ensino medio
22	Dificuldades em algumas materias 
23	nao estou encontrando dificuldade
24	
25	A falta do Prouni
26	
27	alguma meterias um poco dificeis como bioquimica e anatomia
28	materia acumuladas
29	a preocupacao com a forma de pagamento do curso, devido o cancelamento do prouni nesse semestre, e a falta de colaboracao de alguns alunos que conversam muito
30	bom minha maior dificuldade e pegar o ritimo da faculdade, mais e so de inicio no segundo termo ja estarei bem melhor 
31	as materias
32	tive dificuldade de adaptacao com o lugar
33	As unicasdificuldades que tenho sao com base no horario corrido de materias que tenho, pelo curso ser integral e tambem ter algumas aulas noturnas 
34	Materias muitos complexas, porem sao necessarias 
35	mais explicacao na criacao de jogos
36	nao estou tendo muita dificuldade 
37	nao estou tendo dificuldades
38	alguns assuntos nao estou entendendo
39	O curso de Direito na  e excelente
40	Trabalho - carga horaria
41	nenhuma
42	nao tem
43	site
44	mais informacoes por parte dos professores 
45	As unicas dilficulds sao em algumas materias
46	
47	tempo
48	nenhuma
49	
50	O lado financeiro para os materiais e transporte
51	MATEMATICA
52	como devo estudar,interagir mais com a sala e participar nas aulas
53	
54	
55	Sem dificuldades
56	Minha rotina
57	As dificuldades sao mais pessoais , conciliando a vida acadêmica em geral e as atividades que ela exerce com as materias referentes ao semestre que serao cobradas em avaliacoes
58	Dificuldades para organizar horarios de estudos
59	Tenho dificuldade na concentracao 
60	Entrei um pouco depois do inicio do curso ! 
61	
62	Em se adaptar ao ritmo, preocupacoes com provas, atividades, conteudos complexos
63	Nenhuma
64	As minhas dificuldades podem estar relacionadas ao tempo de estudo, ao cansaco por trabalhar muito, e morar em uma cidade um pouco distante de presidente prudente
65	A unica dificuldade para realizar um curso melhor do que o esperado e ter que locomover-se, daqui ao Campus 2 Ja nas disciplinas nao ha dificuldades impossiveis 
66	nao estou tendo muitas dificuldades, apenas muita materia dada em aula de uma forma muito superficial em algumas areas 
67	muitos trabalhos e modo de transporte
68	nao estou tendo
69	explicacao durante as aulas de direito civil IED
70	Algumas materias e palavras que eu nao conheci no ensino medio
71	Dificuldade com uma materia
72	ainda nao consigo estudar toda a materia como tinha em mente
73	ALGUMAS MATERIAS 
74	
75	
76	minha renda financeira pq nao estou trabalhando  
77	somente referente as leituras devido ter muitos livros para serem lidos 
78	Dificuldade em entender e se esforcar para a compreensao
79	Nenhuma
80	me adaptar a forma de estudo 
81	
82	distancia, alguns professores nao entendem isso
83	
84	Questao de adaptacoes em algumas materias 
85	em partes tenho
86	nao estou tendo dificuldades
87	Financeiro
88	Ate o momento nao surgiu nenhuma dificuldade que me impede de fazer um bom curso 
89	Situacao financeira para comprar equipamentos adequados
90	Tempo de estudo
91	concentacao para estudar
92	nao apresento nenhuma dificuldade que comprometa o bom andamento do curso
93	
94	algumas materias 
95	Conseguir acompanhar as materias 
96	Tempo, ja que para me manter tenho que trabalhar
97	DINHEIRO
98	
99	ter entrado apos o inicio das aulas
100	nao estou tendo muitas so algumas duvidas em materias
101	falta de um pc
102	Pessoais
103	preguica
104	Me acostumar com a rotina de estudos, para que possa ter uma melhor formacao
105	nenhuma 
106	nao tenho
107	Tem horas que os professores explica muito rapido e eu acabo nao entendendo
108	As vezes a falta de tempo devido ao trabalho
109	NENHUMA
110	nao e possivel
111	
112	nao tenho muita dificuldade para desenvolver, mais teho dificuldade em uma materia por enquando, por falta de explicacao do professor 
113	Financeiro
114	Falta um pouco mais de tempo para aprender algumas disciplinas 
115	Dificuldades para conseguir o Fies
116	Dificuldade em relacao a materia pois comecei a um mês depois do inicio das aulas
117	Dificuldades financeiras
118	no momento apenas a fase de adaptacao
119	pouco tempo com livros, e os mais importantes nao sao suficientes para todos os alunos 
120	pouca informacao sobre as tarefas 
121	Dificuldade de relacionamento com pessoas pode me prejudicar em algumas materias
122	a distancia e cansativa ea matematica e dificio,mas e necessaria 
123	 dificuldade em trabalhar com alguns materiais
124	Falta de animo para estudar
125	nenhuma no momento
126	Sinto um pouco de dificuldade em relacao à materia de Bioquimica, porem, acho que serao solucionadas ao decorrer do curso
127	Acesso ao local longe da residência
128	
129	Nenhuma
130	No momento nenhuma
131	dificuldades pessoais, como pagamentos
132	nda
133	nao poder estar sempre presente no campus da universidade
134	Acompanhar as materias perdidas
135	Viajar diariamente e alimentacao 
136	nao ha; exceto por melhorias na sala de aula, como kit multimidia fixo, para facilitar andamento das aulas
137	As materias sao muitas
138	Horarios de aula
139	
140	Apenas o Latim 
141	algumas adaptacoes
142	Tenho dificuldades pequenas, em relacao a algumas materias e nas falas, mas posso melhorar
143	muito esforco e pouco tempo
144	Por enquanto nao estou tendo muitas dificuldades pelo fato de ja ter visto o conteudo durante determinada parte da minha vida
145	biologicia tentando compreender a materia num geral e tbm detalhada
146	pagamento e locomocao
147	entrei 1 mes atrasada no curso, e estou tendo dificuldades em recuperar as materias perdidas, tirando isso os professores sao maravilhosos e a coordenadora e super atenciosa e sempre esta disposta a ajudar o aluno
148	No momento nao estou com nenhuma dificuldade
149	nenhuma dificuldade 
150	ate agora nao encontrei nenhuma dificuldade 
151	falta do prouni
152	Falta de tempo para estudar, tenho dois empregos e a faculdade 
153	Alguns conteudos
154	Ter docentes mais didaticos
