id,tipo,titulo,alias,sigla,catId,catTitle,parentCatId,parentCatTitle,path
20700,Estatísticas,1995-1996#censoagro6,1995-1996-censoagro1995,,2017,NP-Censo Agropecuário,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-censo-agropecuario
19878,Estatísticas,1996 #Contagem2,1996-contagem2,,2024,NP-Contagem da População,1938,"NP-Condições de vida, pobreza e desigualdade",novo-portal/estatisticas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/condicoes-de-vida-pobreza-e-desigualdade/np-contagem-da-populacao
9827,Estatísticas,2006#censoagro5,censo-agropecuario,,2017,NP-Censo Agropecuário,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-censo-agropecuario
9065,Estatísticas,2007 #Contagem1,contagem-da-populacao,,2024,NP-Contagem da População,1938,"NP-Condições de vida, pobreza e desigualdade",novo-portal/estatisticas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/condicoes-de-vida-pobreza-e-desigualdade/np-contagem-da-populacao
29540,Estatísticas,2013#Pesquisa Nacional de Saúde,2013-pesquisa-nacional-de-saude,PNS,2061,NP-Pesquisa Nacional de Saúde,1883,NP-Saúde,novo-portal/estatisticas/demografia-e-estatisticas-sociais/saude/np-pesquisa-nacional-de-saude
21814,Estatísticas,2017#2017 censo agropecuário,2017-censo-agropecuario,,2017,NP-Censo Agropecuário,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-censo-agropecuario
9160,Estatísticas,2019#Pesquisa Nacional de Saúde,pesquisa-nacional-de-saude,PNS,2061,NP-Pesquisa Nacional de Saúde,1883,NP-Saúde,novo-portal/estatisticas/demografia-e-estatisticas-sociais/saude/np-pesquisa-nacional-de-saude
9023,Estatísticas,As Fundações Privadas e Associações sem Fins Lucrativos no Brasil,as-fundacoes-privadas-e-associacoes-sem-fins-lucrativos-no-brasil,FASFIL,2006,NP-As Fundações Privadas e Associações sem Fins Lucrativos no Brasil,1931,NP-Outras estatísticas econômicas não especificadas anteriormente,novo-portal/estatisticas/estatisticas-economicas/outras-estatisticas-economicas-nao-especificadas-anteriormente/np-as-fundacoes-privadas-e-associacoes-sem-fins-lucrativos-no-brasil
9123,Estatísticas,As Micro e Pequenas Empresas Comerciais e de Serviços no Brasil,as-micro-e-pequenas-empresas-comerciais-e-de-servicos-no-brasil,,2048,NP-As Micro e Pequenas Empresas Comerciais e de Serviços no Brasil,1931,NP-Outras estatísticas econômicas não especificadas anteriormente,novo-portal/estatisticas/estatisticas-economicas/outras-estatisticas-economicas-nao-especificadas-anteriormente/np-as-micro-e-pequenas-empresas-comerciais-e-de-servicos-no-brasil
9183,Estatísticas,Até 2002#pme2,pesquisa-mensal-de-emprego-antiga-metodologia,PME,2068,NP-Pesquisa Mensal de Emprego,1878,NP-Trabalho remunerado,novo-portal/estatisticas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/np-pesquisa-mensal-de-emprego
